PROCEDURE,Amount,Key_FS,Source
99221,105.5,99221,Aetna
99222,141.61,99222,Aetna
99223,209.7,99223,Aetna
99232,75.21,99232,Aetna
99233,107.67,99233,Aetna
99234,137.92,99234,Aetna
99235,174.85,99235,Aetna
99238,75.21,99238,Aetna
99239,110.66,99239,Aetna
99221,105.5,99221,Aetna
99222,141.61,99222,Aetna
99223,209.7,99223,Aetna
99232,75.21,99232,Aetna
99233,107.67,99233,Aetna
99234,137.92,99234,Aetna
99235,174.85,99235,Aetna
99238,75.21,99238,Aetna
99239,110.66,99239,Aetna
99221,105.5,99221,Aetna
99222,141.61,99222,Aetna
99223,209.7,99223,Aetna
99232,75.21,99232,Aetna
99233,107.67,99233,Aetna
99234,137.92,99234,Aetna
99235,174.85,99235,Aetna
99238,75.21,99238,Aetna
99239,110.66,99239,Aetna
99221,105.5,99221,Aetna
99222,141.61,99222,Aetna
99223,209.7,99223,Aetna
99232,75.21,99232,Aetna
99233,107.67,99233,Aetna
99234,137.92,99234,Aetna
99235,174.85,99235,Aetna
99238,75.21,99238,Aetna
99239,110.66,99239,Aetna
99221,105.5,99221,Aetna
99222,141.61,99222,Aetna
99223,209.7,99223,Aetna
99232,75.21,99232,Aetna
99233,107.67,99233,Aetna
99234,137.92,99234,Aetna
99235,174.85,99235,Aetna
99238,75.21,99238,Aetna
99239,110.66,99239,Aetna
99221,105.5,99221,Aetna
99222,141.61,99222,Aetna
99223,209.7,99223,Aetna
99232,75.21,99232,Aetna
99233,107.67,99233,Aetna
99234,137.92,99234,Aetna
99235,174.85,99235,Aetna
99238,75.21,99238,Aetna
99239,110.66,99239,Aetna
99221,105.5,99221,Aetna
99222,141.61,99222,Aetna
99223,209.7,99223,Aetna
99232,75.21,99232,Aetna
99233,107.67,99233,Aetna
99234,137.92,99234,Aetna
99235,174.85,99235,Aetna
99238,75.21,99238,Aetna
99239,110.66,99239,Aetna
G0011,26.14,G0011,Capital
G0012,13.97,G0012,Capital
G0013,22.44,G0013,Capital
G0017,211.34,G0017,Capital
G0018,105.48,G0018,Capital
G0019,78.95,G0019,Capital
G0022,49.52,G0022,Capital
G0023,78.95,G0023,Capital
G0024,49.52,G0024,Capital
G0076,49.20,G0076,Capital
G0077,73.28,G0077,Capital
G0078,120.12,G0078,Capital
G0079,157.87,G0079,Capital
G0080,207.18,G0080,Capital
G0081,48.25,G0081,Capital
G0082,77.74,G0082,Capital
G0083,122.61,G0083,Capital
G0084,173.47,G0084,Capital
G0085,207.18,G0085,Capital
G0086,73.72,G0086,Capital
G0087,103.36,G0087,Capital
G0101,39.05,G0101,Capital
G0102,22.44,G0102,Capital
G0104,178.70,G0104,Capital
G0105,332.73,G0105,Capital
G0105,166.21,G010553,Capital
G0106,209.32,G0106,Capital
G0106,58.64,G010626,Capital
G0106,150.68,G0106TC,Capital
G0108,53.50,G0108,Capital
G0109,15.38,G0109,Capital
G0117,61.01,G0117,Capital
G0118,39.94,G0118,Capital
G0120,209.32,G0120,Capital
G0120,58.64,G012026,Capital
G0120,150.68,G0120TC,Capital
G0121,333.21,G0121,Capital
G0121,166.70,G012153,Capital
G0124,23.22,G0124,Capital
G0127,23.04,G0127,Capital
G0128,9.25,G0128,Capital
G0130,35.21,G0130,Capital
G0130,10.63,G013026,Capital
G0130,24.58,G0130TC,Capital
G0136,18.37,G0136,Capital
G0140,78.95,G0140,Capital
G0141,23.22,G0141,Capital
G0146,49.52,G0146,Capital
G0166,97.08,G0166,Capital
G0168,116.19,G0168,Capital
G0179,40.85,G0179,Capital
G0180,52.59,G0180,Capital
G0181,103.81,G0181,Capital
G0182,103.32,G0182,Capital
G0237,10.81,G0237,Capital
G0238,9.88,G0238,Capital
G0239,12.38,G0239,Capital
G0245,63.16,G0245,Capital
G0246,37.86,G0246,Capital
G0247,80.51,G0247,Capital
G0248,94.57,G0248,Capital
G0249,61.82,G0249,Capital
G0250,8.67,G0250,Capital
G0268,51.92,G0268,Capital
G0270,30.80,G0270,Capital
G0271,16.32,G0271,Capital
G0276,370.11,G0276,Capital
G0277,171.86,G0277,Capital
G0278,14.07,G0278,Capital
